[2026-07-13T16:55:10.874Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/index.html → 200 (6ms, 12809B)
[2026-07-13T16:55:10.886Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/styles.css?v=20260617-04 → 200 (1ms, 16383B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/logo.png → 200 (4ms, 256784B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/studio-01.jpg → 200 (6ms, 1686003B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/studio-06.jpeg → 200 (7ms, 422315B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/about-01.jpg → 200 (8ms, 174930B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/studio-02.jpg → 200 (9ms, 64720B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/studio-05.jpeg → 200 (9ms, 429059B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/studio-03.jpeg → 200 (9ms, 255706B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/equipment-01.jpg → 200 (9ms, 753794B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/equipment-02.jpg → 200 (9ms, 766917B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/equipment-03.jpeg → 200 (12ms, 223046B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/equipment-04.jpg → 200 (12ms, 682937B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/equipment-05.jpg → 200 (12ms, 520790B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/equipment-06.jpg → 200 (12ms, 661281B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/equipment-07.jpg → 200 (13ms, 142390B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/equipment-08.jpg → 200 (13ms, 486502B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/teacher-irene.jpg → 200 (13ms, 190833B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/teacher-eva.jpg → 200 (13ms, 789305B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/teacher-hailey.jpeg → 200 (13ms, 175446B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/images/review.jpeg → 200 (13ms, 266865B)
[2026-07-13T16:55:10.887Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/script.js?v=20260617-04 → 200 (19ms, 1268B)
[2026-07-13T16:57:31.669Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/index.html → 200 (19ms, 12809B)
[2026-07-13T16:57:31.720Z] GET file:///Users/erikpark/00_personal/03_freelance/ILPilates/styles.css?v=20260617-05 → 200 (2ms, 16473B)
